id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-211787205-U,Cable visualization system ,刘晓霞,"刘晓霞, 王帅伟, 杨玉霞, 何昌雄, 李肖芳, 黄雄军",07/01/2020,07/01/2020,27/10/2020,27/10/2020,https://patents.google.com/patent/CN211787205U/en,
CN-211317895-U,Environmental monitoring sampling device based on thing networking ,山东企管家环保科技有限公司,"庄敬祥, 王云龙, 李庆鑫",07/01/2020,07/01/2020,21/08/2020,21/08/2020,https://patents.google.com/patent/CN211317895U/en,
CN-211017206-U,Solar energy storage battery box ,厦门高比特电子有限公司,"陈世友, 黄瑞霞, 张焕波",07/01/2020,07/01/2020,14/07/2020,14/07/2020,https://patents.google.com/patent/CN211017206U/en,
CN-211996651-U,Medical care is with case that has classification function portable ,顾丹妮,顾丹妮,07/01/2020,07/01/2020,24/11/2020,24/11/2020,https://patents.google.com/patent/CN211996651U/en,
CN-211477688-U,Soil sampler for VOCs analysis ,浙江埃泰克环境科技有限公司,"卢建杭, 程明超",07/01/2020,07/01/2020,11/09/2020,11/09/2020,https://patents.google.com/patent/CN211477688U/en,
CN-111173350-B,Outdoor interim electric power communication tower with adjustable ,"广东鹏星重工有限公司, 王�华",储晓慧,07/01/2020,07/01/2020,18/12/2020,18/12/2020,https://patents.google.com/patent/CN111173350B/en,
CN-211593194-U,Water stain cleaning device of surface is managed in side ,博农联合技术(天津)有限公司,尚用访,07/01/2020,07/01/2020,29/09/2020,29/09/2020,https://patents.google.com/patent/CN211593194U/en,
CN-211527939-U,Water sample sampler for environmental monitoring ,赵雨云,赵雨云,07/01/2020,07/01/2020,18/09/2020,18/09/2020,https://patents.google.com/patent/CN211527939U/en,
CN-211449709-U,Electric chain wheel type blind plate valve ,启东腾达阀门有限公司,黄爱东,07/01/2020,07/01/2020,08/09/2020,08/09/2020,https://patents.google.com/patent/CN211449709U/en,
CN-211176482-U,Anti-dazzle eyeshield classroom lamp ,哈尔滨工大光电科技有限公司,"刘东升, 王雅杰, 惠春龙, 张志安",07/01/2020,07/01/2020,04/08/2020,04/08/2020,https://patents.google.com/patent/CN211176482U/en,
CN-211345700-U,Ventilation unit for architectural design ,李元来,李元来,07/01/2020,07/01/2020,25/08/2020,25/08/2020,https://patents.google.com/patent/CN211345700U/en,
CN-211537891-U,Ore crushing and screening integrated device for gold mining ,招金矿业股份有限公司蚕庄金矿,"付佳杰, 庄晓腾, 李志海, 张阳阳, 闫刚, 刘辉, 董国强, 刘强",07/01/2020,07/01/2020,22/09/2020,22/09/2020,https://patents.google.com/patent/CN211537891U/en,
CN-212091821-U,Liquid preparation device ,浙江金大康动物保健品有限公司,"缪雨臻, 缪雪荣, 陈晓斌",06/01/2020,06/01/2020,08/12/2020,08/12/2020,https://patents.google.com/patent/CN212091821U/en,
CN-211726284-U,Handicraft spraying device suitable for complicated surface ,汕头市澄海区美龙宇工艺玩具有限公司,陈克龙,06/01/2020,06/01/2020,23/10/2020,23/10/2020,https://patents.google.com/patent/CN211726284U/en,
CN-211612576-U,Sealing structure of feeding mechanism in mortar premixing and stirring device ,北京京鑫绿石干混砂浆有限公司,李金锁,06/01/2020,06/01/2020,02/10/2020,02/10/2020,https://patents.google.com/patent/CN211612576U/en,
CN-210728206-U,Traditional chinese medical science internal medicine physiotherapy is with smokeless back moxibustion device ,南召县岭南艾叶制品有限公司,"王强, 张晓�",06/01/2020,06/01/2020,12/06/2020,12/06/2020,https://patents.google.com/patent/CN210728206U/en,
CN-212121100-U,Central air-conditioning air duct dust removal robot ,宁德西柏坡建设工程有限公司,彭建宁,06/01/2020,06/01/2020,11/12/2020,11/12/2020,https://patents.google.com/patent/CN212121100U/en,
CN-211925195-U,"Surveying, mapping, surveying and mapping lofting device ",青岛地质工程勘察院,"于莉莉, 明强, 李朋, 毛宽振",06/01/2020,06/01/2020,13/11/2020,13/11/2020,https://patents.google.com/patent/CN211925195U/en,
CN-111117903-A,Marine-sourced sporobolomyces sporotrichum freeze-dried preparation and preparation method and application thereof ,"宁波大学, 浙江省农业科学院","韦莹莹, 韩佩佩, 邵兴锋, 许凤, 王鸿飞, 郜海燕",09/01/2020,09/01/2020,08/05/2020,,https://patents.google.com/patent/CN111117903A/en,
CN-111260523-A,Mining waste land function replacement evaluation method ,何满潮,"何满潮, 李晓丹, 杨灏, 戴华阳, 冯焕坤, 李昕琪",09/01/2020,09/01/2020,09/06/2020,,https://patents.google.com/patent/CN111260523A/en,
CN-111061241-A,Refrigerating unit controller and refrigerating unit control method ,惠州市采风科技有限公司,朱永生,10/01/2020,10/01/2020,24/04/2020,,https://patents.google.com/patent/CN111061241A/en,
CN-211713907-U,Water conservancy and hydropower diversion device ,曹广辉,曹广辉,06/01/2020,06/01/2020,20/10/2020,20/10/2020,https://patents.google.com/patent/CN211713907U/en,
CN-211345985-U,Shade cabinet ,克劳沃(北京)生态科技有限公司,"侯湃, 丁旺, 范龙",04/01/2020,04/01/2020,25/08/2020,25/08/2020,https://patents.google.com/patent/CN211345985U/en,
CN-211177487-U,New forms of energy refrigerated vehicle refrigerating plant ,青岛冰雪冷藏车冷链设备制造有限公司,李先峰,04/01/2020,04/01/2020,04/08/2020,04/08/2020,https://patents.google.com/patent/CN211177487U/en,
CN-211751082-U,Dispensing device of oncology treatment medicine ,高国琴,高国琴,04/01/2020,04/01/2020,27/10/2020,27/10/2020,https://patents.google.com/patent/CN211751082U/en,
CN-211724818-U,Environmental engineering sewage recovery unit ,北京中联华源节能环保科技研究院,"傅旭强, 李雪丽, 吴雪峰",04/01/2020,04/01/2020,23/10/2020,23/10/2020,https://patents.google.com/patent/CN211724818U/en,
CN-211234715-U,Noise monitoring device for construction site ,浙江多谱检测科技有限公司,"周建洲, 张海进, 李刚, 吴亚平, 蔡航锋",03/01/2020,03/01/2020,11/08/2020,11/08/2020,https://patents.google.com/patent/CN211234715U/en,
CN-210670518-U,Noise reduction earmuff and talkback earphone ,深圳市奥睿拓科技有限公司,"凌远秋, 陈伯兴",03/01/2020,03/01/2020,02/06/2020,02/06/2020,https://patents.google.com/patent/CN210670518U/en,
CN-211287984-U,Non-contact strain acquisition and measurement system for tower of wind turbine generator and wind turbine generator ,国电联合动力技术有限公司,"褚景春, 袁凌, 潘磊, 王小虎, 史久畅, 张林中, 王力, 马丽红, 常慧英",03/01/2020,03/01/2020,18/08/2020,18/08/2020,https://patents.google.com/patent/CN211287984U/en,
CN-210079834-U,Plastic spraying equipment is used in processing of refrigerator metal accessories ,佛山市汉武金属实业有限公司,钟泽恩,03/01/2020,03/01/2020,18/02/2020,18/02/2020,https://patents.google.com/patent/CN210079834U/en,
CN-211963453-U,Waste gas treatment is with purifier that has multiple layer filtering ,杭州禹航环境工程有限公司,盛向敏,03/01/2020,03/01/2020,20/11/2020,20/11/2020,https://patents.google.com/patent/CN211963453U/en,
CN-211154280-U,Dining pad capable of being used for garbage classification ,朱国彬,朱国彬,03/01/2020,03/01/2020,04/08/2020,04/08/2020,https://patents.google.com/patent/CN211154280U/en,
CN-211776033-U,Breaking hammer protective housing and breaking hammer device ,"中电建生态环境集团有限公司, 广州电建水环境治理技术有限公司","郭先友, 禹芝文, 郑航桅, 边文章, 范建平, 张粤, 胡黎明, 程洪涛, 崔振, 李江洋",03/01/2020,03/01/2020,27/10/2020,27/10/2020,https://patents.google.com/patent/CN211776033U/en,
CN-211832347-U,Livestock-raising uses feeding groove with automatic water supply structure ,杭州长庆汇科技有限公司,江林芳,03/01/2020,03/01/2020,03/11/2020,03/11/2020,https://patents.google.com/patent/CN211832347U/en,
CN-211923071-U,House building environmental protection noise insulation ,三棵树工程有限公司,邓瑞,03/01/2020,03/01/2020,13/11/2020,13/11/2020,https://patents.google.com/patent/CN211923071U/en,
CN-211811889-U,Rack and pinion slip table mechanism ,郑州天宇机器人科技有限公司,张鹏洋,03/01/2020,03/01/2020,30/10/2020,30/10/2020,https://patents.google.com/patent/CN211811889U/en,
CN-211515514-U,Dust device is used in construction of storehouse in bridge ,"重庆交通建设(集团)有限责任公司, 重庆建工集团股份有限公司","张庆明, 熊卫士, 魏民, 张昶, 叶业, 刘前林, 周波",03/01/2020,03/01/2020,18/09/2020,18/09/2020,https://patents.google.com/patent/CN211515514U/en,
CN-211822422-U,Environmental protection is with gaseous discharging equipment of administering of rubbish incineration ,四川兴创泰信息科技有限公司,邹敏,03/01/2020,03/01/2020,30/10/2020,30/10/2020,https://patents.google.com/patent/CN211822422U/en,
CN-111029678-B,Waste battery recycling and pretreating device ,中创新海(天津)认证服务有限公司,不公告发明人,03/01/2020,03/01/2020,11/08/2020,11/08/2020,https://patents.google.com/patent/CN111029678B/en,
CN-211470141-U,Concrete gravel storage bin ,陕西融成伟业混凝土有限公司,王常伟,02/01/2020,02/01/2020,11/09/2020,11/09/2020,https://patents.google.com/patent/CN211470141U/en,
CN-211086811-U,Wear-type AR glasses ,成都卧云科技有限公司,"王群, 姜波",02/01/2020,02/01/2020,24/07/2020,24/07/2020,https://patents.google.com/patent/CN211086811U/en,
CN-111221529-A,Application development method and device and electronic equipment ,江苏满运软件科技有限公司,孙健,07/01/2020,07/01/2020,02/06/2020,,https://patents.google.com/patent/CN111221529A/en,
CN-211516469-U,Practical novel automatic tin breaking and feeding machine ,深圳市恒昌盛科技有限公司,"覃木泉, 王�华, 袁长俊, 赖笔文, 李伟伟, 廖朝东, 罗凤建",02/01/2020,02/01/2020,18/09/2020,18/09/2020,https://patents.google.com/patent/CN211516469U/en,
CN-211801385-U,Material recovery unit is used in production of pottery flower disc ,福建省德化县杰宝陶瓷有限公司,"黄诗智, 章宝珍, 颜杰荣",02/01/2020,02/01/2020,30/10/2020,30/10/2020,https://patents.google.com/patent/CN211801385U/en,
CN-211339118-U,Tar wastewater purification device capable of producing asphalt ,广东雄辉市政公用工程有限公司,卢永潮,02/01/2020,02/01/2020,25/08/2020,25/08/2020,https://patents.google.com/patent/CN211339118U/en,
CN-211604926-U,Heat dissipation rubber pad for condenser ,玉环县鑫庄电子有限公司,金才德,02/01/2020,02/01/2020,29/09/2020,29/09/2020,https://patents.google.com/patent/CN211604926U/en,
CN-111068129-A,Safe aseptic blood drawing device of blood station ,郭慧,郭慧,10/01/2020,10/01/2020,28/04/2020,,https://patents.google.com/patent/CN111068129A/en,
CN-111258890-A,"Program test method, storage medium, and system ",北京大米未来科技有限公司,"谢林, 闫洋铭, 惠超",10/01/2020,10/01/2020,09/06/2020,,https://patents.google.com/patent/CN111258890A/en,
CN-111153737-A,Efficient composite water-soluble fertilizer and preparation method and application thereof ,广西绿浪生物技术有限公司,梁和,10/01/2020,10/01/2020,15/05/2020,,https://patents.google.com/patent/CN111153737A/en,
CN-111215431-A,Kitchen waste disposer of life usefulness ,予皋工业科技(上海)有限公司,彭四雅,10/01/2020,10/01/2020,02/06/2020,,https://patents.google.com/patent/CN111215431A/en,
CN-111109765-A,Shoe pad and shoe comprising same ,福建起步儿童用品有限公司,"祁志敏, 唐明辉, 谭远俊, 简中明, 毛彪",10/01/2020,10/01/2020,08/05/2020,,https://patents.google.com/patent/CN111109765A/en,
CN-111169498-A,Railway refrigerator car monitoring system and method for axle power generation ,中车山东机车车辆有限公司,"周勇汉, 刘建斌, 李维岗, 吴航宇",10/01/2020,10/01/2020,19/05/2020,,https://patents.google.com/patent/CN111169498A/en,
CN-210609165-U,Rail transit wireless communication equipment ,深圳市元基科技开发有限公司,"燕杰, 孙紫轩",10/01/2020,10/01/2020,22/05/2020,22/05/2020,https://patents.google.com/patent/CN210609165U/en,
CN-111230993-A,Hole cutting equipment for facial mask processing and use method ,黄文开,黄文开,10/01/2020,10/01/2020,05/06/2020,,https://patents.google.com/patent/CN111230993A/en,
CN-111187053-A,Preparation method of heat insulation board ,江苏瓦楷新材料科技有限公司,"郑加专, 郑道泽",11/01/2020,11/01/2020,22/05/2020,,https://patents.google.com/patent/CN111187053A/en,
CN-111174217-A,Pollution-free combustion treatment device for medical waste ,王雨秋,王雨秋,11/01/2020,11/01/2020,19/05/2020,,https://patents.google.com/patent/CN111174217A/en,
CN-111005055-A,Multi-source synchronous frequency oscillation type electrodeposition processing device and processing method ,焦作大学,"付金峰, 侯艳, 李艳梅, 杜娟, 钟丹",04/01/2020,04/01/2020,14/04/2020,,https://patents.google.com/patent/CN111005055A/en,
CN-111117131-A,Axial-flow fan blade high-flow glass fiber reinforced flame-retardant AS special material and preparation method thereof ,广东顺威赛特工程塑料开发有限公司,"钟定雄, 杜发钊, 胡天赐",07/01/2020,07/01/2020,08/05/2020,,https://patents.google.com/patent/CN111117131A/en,
CN-111157046-A,Testing device of seabed oil and gas pipeline detection equipment ,东北大学,"李一鸣, 王宇宸, 张众超, 宋桂秋",07/01/2020,07/01/2020,15/05/2020,,https://patents.google.com/patent/CN111157046A/en,
CN-111139119-A,Automobile constant velocity universal joint outer ball cage lubricating grease composition and preparation method thereof ,中国石油化工股份有限公司,"韩占伟, 张广辽, 张晓凯",02/01/2020,02/01/2020,12/05/2020,,https://patents.google.com/patent/CN111139119A/en,
CN-211515443-U,High-efficient environment-friendly device based on pipeline inner wall is clean ,上海存一环保节能科技有限公司,"王明龙, 王君鹏, 王存一",07/01/2020,07/01/2020,18/09/2020,18/09/2020,https://patents.google.com/patent/CN211515443U/en,
CN-211347565-U,Sampling device for water environment management ,许剑生,许剑生,08/01/2020,08/01/2020,25/08/2020,25/08/2020,https://patents.google.com/patent/CN211347565U/en,
CN-211318389-U,Environment emergency monitoring device based on Internet of things ,山东企管家环保科技有限公司,"王云龙, 庄敬祥, 王三洲",08/01/2020,08/01/2020,21/08/2020,21/08/2020,https://patents.google.com/patent/CN211318389U/en,
CN-211491796-U,Cutting and positioning structure for production of environment-friendly sanitary chopsticks ,宜春市华韵实业有限公司,"赵国华, 赵伯丁, 刘忠刚, 李军维",07/01/2020,07/01/2020,15/09/2020,15/09/2020,https://patents.google.com/patent/CN211491796U/en,
CN-211505421-U,Environment-friendly air dust detection device ,安徽辉闰环境保护工程股份有限公司,"杨琳, 葛志国",07/01/2020,07/01/2020,15/09/2020,15/09/2020,https://patents.google.com/patent/CN211505421U/en,
CN-211578407-U,High-insulation long-life flame-retardant-resistant environment-friendly wire ,安徽太平洋电缆股份有限公司,"杨越, 何冬生, 程盛, 刘冰清, 宋东东, 汪晓琳, 朱为坤",07/01/2020,07/01/2020,25/09/2020,25/09/2020,https://patents.google.com/patent/CN211578407U/en,
CN-211233730-U,Drying and storing device for production of environment-friendly sanitary chopsticks ,宜春市华韵实业有限公司,"赵国华, 赵伯丁, 刘忠刚, 李军维",07/01/2020,07/01/2020,11/08/2020,11/08/2020,https://patents.google.com/patent/CN211233730U/en,
CN-212099605-U,Purify herbal pieces-partial shipment platform of operational environment ,重庆三立堂中药制药有限公司,"谢勇其, 黄辉乔, 胡世军, 冯国华, 陈利",07/01/2020,07/01/2020,08/12/2020,08/12/2020,https://patents.google.com/patent/CN212099605U/en,
CN-211204300-U,Environment regulator assembling structure of computer room ,曾光,曾光,07/01/2020,07/01/2020,07/08/2020,07/08/2020,https://patents.google.com/patent/CN211204300U/en,
CN-211088817-U,Electric power compensation energy-saving device in environment control system ,重庆交通职业学院,"夏聘, 甘凤萍, 郑宇�, 郭锦景",07/01/2020,07/01/2020,24/07/2020,24/07/2020,https://patents.google.com/patent/CN211088817U/en,
CN-211849684-U,Underwater environment treatment operation robot ,深圳市智创造科技有限公司,"朱忠辉, 周勇国, 蔡汉城, 朱少河",07/01/2020,07/01/2020,03/11/2020,03/11/2020,https://patents.google.com/patent/CN211849684U/en,
CN-211343218-U,Environment-friendly generator based on solar energy and wind energy ,刘丽,刘丽,06/01/2020,06/01/2020,25/08/2020,25/08/2020,https://patents.google.com/patent/CN211343218U/en,
CN-211598510-U,Energy-saving environment-friendly air-leg rock drill ,驻马店乐润科技发展有限公司,"马耀东, 郑传营, 李东杰, 郭亚军",06/01/2020,06/01/2020,29/09/2020,29/09/2020,https://patents.google.com/patent/CN211598510U/en,
CN-212123758-U,Waste material cutting equipment for preparing green environment-friendly building material from building waste ,四川企易标信息科技有限公司,游菊明,06/01/2020,06/01/2020,11/12/2020,11/12/2020,https://patents.google.com/patent/CN212123758U/en,
CN-211773192-U,Integrated environment-friendly vehicle with water sprinkling and dust collection functions ,清尘环保技术有限公司,"张雪峰, 孔丽",06/01/2020,06/01/2020,27/10/2020,27/10/2020,https://patents.google.com/patent/CN211773192U/en,
CN-211676884-U,Building construction district dust fall noise-proof environment-friendly device ,东海建设集团有限公司,"穆章龙, 郭婷婷",04/01/2020,04/01/2020,16/10/2020,16/10/2020,https://patents.google.com/patent/CN211676884U/en,
CN-211837223-U,Safe and environment-friendly disposal device for dangerous chemicals ,重庆环科源博达环保科技有限公司,"胡志锋, 张健, 邵露洁, 付聪, 谢德嫦",04/01/2020,04/01/2020,03/11/2020,03/11/2020,https://patents.google.com/patent/CN211837223U/en,
CN-211309533-U,Plastic storage device for improving storage environment ,澳太塑业（瑞金）有限公司,刘用熙,03/01/2020,03/01/2020,21/08/2020,21/08/2020,https://patents.google.com/patent/CN211309533U/en,
CN-211423814-U,Device for installing environment particulate matter sampler ,山东企管家环保科技有限公司,"赵晶, 郭玉昌, 王云龙",03/01/2020,03/01/2020,04/09/2020,04/09/2020,https://patents.google.com/patent/CN211423814U/en,
CN-211999547-U,Heat-insulating environment-friendly protective film for automobile paint surface ,东莞市荣腾纳米科技有限公司,宋龙虎,03/01/2020,03/01/2020,24/11/2020,24/11/2020,https://patents.google.com/patent/CN211999547U/en,
CN-211374731-U,COD monitoring mechanism based on water environment monitoring ,江苏汉鼎汉方环境科技有限公司,成亮,03/01/2020,03/01/2020,28/08/2020,28/08/2020,https://patents.google.com/patent/CN211374731U/en,
CN-211612414-U,Environment-friendly closed high-speed dispersion machine ,上海颜容化妆品有限公司,朱远鹏,02/01/2020,02/01/2020,02/10/2020,02/10/2020,https://patents.google.com/patent/CN211612414U/en,
CN-211735594-U,Energy-concerving and environment-protective rainwater collection device that uses ,王水英,王水英,02/01/2020,02/01/2020,23/10/2020,23/10/2020,https://patents.google.com/patent/CN211735594U/en,
CN-111070768-A,Forming and processing device of environment-friendly straw briquettes ,但文杰,但文杰,11/01/2020,11/01/2020,28/04/2020,,https://patents.google.com/patent/CN111070768A/en,
CN-211985089-U,Energy-concerving and environment-protective portable barbecue device ,安盛环科(天津)科技有限公司,许风莲,02/01/2020,02/01/2020,24/11/2020,24/11/2020,https://patents.google.com/patent/CN211985089U/en,
CN-111243285-A,Automatic vehicle fake plate detection method and system based on vehicle lamp image recognition in dark environment ,南京甄视智能科技有限公司,"杨帆, 季中奇, 尚应",07/01/2020,07/01/2020,05/06/2020,,https://patents.google.com/patent/CN111243285A/en,
CN-211825566-U,Environment-friendly monitoring device capable of detecting dust content ,王跃进,王跃进,02/01/2020,02/01/2020,30/10/2020,30/10/2020,https://patents.google.com/patent/CN211825566U/en,
CN-211419156-U,Novel winding shaft for environment-friendly material polyester staple fibers ,威海市天翔化纤制品有限公司,刘建清,01/01/2020,01/01/2020,04/09/2020,04/09/2020,https://patents.google.com/patent/CN211419156U/en,
CN-211993416-U,Raw bamboo peeling device for production of environment-friendly sanitary chopsticks ,宜春市华韵实业有限公司,"赵国华, 赵伯丁, 刘忠刚, 李军维",09/01/2020,09/01/2020,24/11/2020,24/11/2020,https://patents.google.com/patent/CN211993416U/en,
CN-111097557-A,Environment simulation detection equipment ,昆山锦芯宏智能装备科技有限公司,"张小伟, 黄金磊",03/01/2020,03/01/2020,05/05/2020,,https://patents.google.com/patent/CN111097557A/en,
CN-111028722-A,Low temperature environment liquid crystal display protection device ,建德罗嵘科技有限公司,不公告发明人,03/01/2020,03/01/2020,17/04/2020,,https://patents.google.com/patent/CN111028722A/en,
CN-210979375-U,Smokeless and oil-leakage-free environment-friendly oil candle ,安吉贵法贸易有限公司,方贵法,09/01/2020,09/01/2020,10/07/2020,10/07/2020,https://patents.google.com/patent/CN210979375U/en,
CN-211564514-U,Energy-saving environment-friendly water circulation system for vacuum tank for producing titanium powder by hydrogenation and dehydrogenation method ,宝鸡泉兴钛业股份有限公司,孔云刚,09/01/2020,09/01/2020,25/09/2020,25/09/2020,https://patents.google.com/patent/CN211564514U/en,
CN-111128455-A,High-insulation long-life flame-retardant-resistant environment-friendly wire ,安徽太平洋电缆股份有限公司,"杨越, 何冬生, 程盛, 刘冰清, 宋东东, 汪晓琳, 朱为坤",07/01/2020,07/01/2020,08/05/2020,,https://patents.google.com/patent/CN111128455A/en,
CN-211088938-U,Energy-saving environment-friendly electric power high-low pressure complete equipment ,段昊灼,"李昕颖, 段昊灼, 亢礼宇, 丁一丹, 宋畅",09/01/2020,09/01/2020,24/07/2020,24/07/2020,https://patents.google.com/patent/CN211088938U/en,
CN-212244295-U,Environment-friendly waterproof wooden case ,浙江洪美包装有限公司,朱军华,10/01/2020,10/01/2020,29/12/2020,29/12/2020,https://patents.google.com/patent/CN212244295U/en,
CN-211843503-U,Electromagnetic wave radiation prevention PVC environment-friendly composite film ,广州市柏拉图塑胶有限公司,"廖世本, 齐宏钧",08/01/2020,08/01/2020,03/11/2020,03/11/2020,https://patents.google.com/patent/CN211843503U/en,
CN-110805016-A,Movable offshore self-installation dry type operation environment construction process ,"森诺科技有限公司, 中石化胜利石油工程有限公司钻井工艺研究院","吴成利, 樊敦秋, 杨斐然, 魏羲, 包清华, 初新杰, 殷志强, 毛晓东, 李世杰",08/01/2020,08/01/2020,18/02/2020,,https://patents.google.com/patent/CN110805016A/en,
CN-111099199-A,Garbage disposal equipment and method for resource and environment protection ,李建辉,李建辉,08/01/2020,08/01/2020,05/05/2020,,https://patents.google.com/patent/CN111099199A/en,
CN-211811090-U,Reusable environment-friendly all-plastic foam pump ,陈家欣,陈家欣,09/01/2020,09/01/2020,30/10/2020,30/10/2020,https://patents.google.com/patent/CN211811090U/en,
CN-212489423-U,Environment-friendly cup recycling and destroying structure ,晏玉华,晏玉华,09/01/2020,09/01/2020,09/02/2021,09/02/2021,https://patents.google.com/patent/CN212489423U/en,
CN-211785411-U,Quality detection device for environment-friendly material ,河南省植立方环保技术有限公司,"李会霞, 杨庆州, 张杨, 王素红, 孙红涛, 张冲",10/01/2020,10/01/2020,27/10/2020,27/10/2020,https://patents.google.com/patent/CN211785411U/en,
CN-211414098-U,Splash-proof environment-friendly tin ,深圳市正锡金属有限公司,梁明亮,10/01/2020,10/01/2020,04/09/2020,04/09/2020,https://patents.google.com/patent/CN211414098U/en,
CN-212279550-U,Efficient environment-friendly mosquito and fly catching and killing device ,南昌大学,吴泉泉,10/01/2020,10/01/2020,05/01/2021,05/01/2021,https://patents.google.com/patent/CN212279550U/en,
CN-212115266-U,Solar roof device for environment-friendly building ,蒋治彬,蒋治彬,11/01/2020,11/01/2020,08/12/2020,08/12/2020,https://patents.google.com/patent/CN212115266U/en,
CN-211766293-U,Environment monitoring device based on unmanned aerial vehicle platform ,河北柒壹壹玖工业自动化技术有限公司,"李洁, 高士彬, 张晗",11/01/2020,11/01/2020,27/10/2020,27/10/2020,https://patents.google.com/patent/CN211766293U/en,
CN-212081897-U,Hot air circulation continuous environment-friendly dryer ,山东吉优特仓储设备有限公司,杨卫,11/01/2020,11/01/2020,04/12/2020,04/12/2020,https://patents.google.com/patent/CN212081897U/en,
CN-211454384-U,Environment temperature and humidity monitoring device for vehicle-mounted refrigerator ,浙江大工新能源有限公司,蒋云雨,12/01/2020,12/01/2020,08/09/2020,08/09/2020,https://patents.google.com/patent/CN211454384U/en,
CN-111185301-A,Dry-type environment-friendly ore dressing system and ore dressing method ,江苏梵爵科技有限公司,"孟列, 姜海燕",10/01/2020,10/01/2020,22/05/2020,,https://patents.google.com/patent/CN111185301A/en,
CN-111191950-A,Method and device for analyzing abnormal oil temperature of gearbox of wind turbine generator ,国电联合动力技术有限公司,"袁凌, 褚景春, 张斌",03/01/2020,03/01/2020,22/05/2020,,https://patents.google.com/patent/CN111191950A/en,
DE-202020000049-U1,Ecological natural wax blends for candles ,Inachem Gmbh,,07/01/2020,07/01/2020,31/01/2020,,https://patents.google.com/patent/DE202020000049U1/en,
CN-111099873-A,Autoclaved aerated concrete block and production process thereof ,新疆富力达新型环保建材有限公司,汪振权,06/01/2020,06/01/2020,05/05/2020,,https://patents.google.com/patent/CN111099873A/en,
CN-111243613-A,Generator set vibration and noise reduction method based on noise source identification ,山东赛马力发电设备有限公司,袁勋,08/01/2020,08/01/2020,05/06/2020,,https://patents.google.com/patent/CN111243613A/en,
CN-111203875-A,Mechanical arm collision safety level detection system ,重庆邮电大学,"魏大鹏, 陈羿甫, 姜星池, 杨俊�, 谢义, 周凯, 李晓霞, 洪鑫, 唐新悦",07/01/2020,07/01/2020,29/05/2020,,https://patents.google.com/patent/CN111203875A/en,
CN-111082497-A,Power failure judgment method for cleaning equipment and cleaning equipment ,惠州拓邦电气技术有限公司,不公告发明人,09/01/2020,09/01/2020,28/04/2020,,https://patents.google.com/patent/CN111082497A/en,
CN-111214252-A,"CT data acquisition method and device, and image reconstruction method and system ",东软医疗系统股份有限公司,沈达为,07/01/2020,07/01/2020,02/06/2020,,https://patents.google.com/patent/CN111214252A/en,
CN-111241811-A,"Method, apparatus, computer device and storage medium for determining search term weight ",平安科技（深圳）有限公司,"谭瑞, 李钢, 权佳成, 张瑜, 车驰, 陈旭阳",06/01/2020,06/01/2020,05/06/2020,,https://patents.google.com/patent/CN111241811A/en,
CN-111259052-A,"Data processing and monitoring method, device and equipment ",支付宝(杭州)信息技术有限公司,赵孝松,10/01/2020,10/01/2020,09/06/2020,,https://patents.google.com/patent/CN111259052A/en,
CN-111101557-A,Fire hydrant intelligence stifle ,广州杰赛科技股份有限公司,"陈龙飞, 赖涛, 梁辉, 吴建建, 刘浩斌",06/01/2020,06/01/2020,05/05/2020,,https://patents.google.com/patent/CN111101557A/en,
US-2021103383-A1,Social network interactions ,"Facebook, Inc.","Ryan Michael O'Rourke, Brendan Benjamin Aronoff, Rishi Pankaj Mody",,02/01/2020,08/04/2021,,https://patents.google.com/patent/US20210103383A1/en,https://patentimages.storage.googleapis.com/a8/f3/9e/d5760599d2eeb6/US20210103383A1-20210408-D00000.png
CN-111153806-A,Aggregation-induced emission type aniline derivative luminescent compound and preparation method thereof ,北京航空航天大学,"杨继萍, 陆浩, 刘蓓蓓, 王萌, 黄明明",08/01/2020,08/01/2020,15/05/2020,,https://patents.google.com/patent/CN111153806A/en,
CN-111200458-A,Automatic control method and system based on satellite link communication power and modulation mode ,四川安迪科技实业有限公司,黎小明,06/01/2020,06/01/2020,26/05/2020,,https://patents.google.com/patent/CN111200458A/en,
CN-111060109-A,Unmanned ship global path planning method based on improved A-star algorithm ,东南大学,"张涛, 秦彦樑, 王立辉, 夏茂栋, 张佳宇, 张晨, 张江源",03/01/2020,03/01/2020,24/04/2020,,https://patents.google.com/patent/CN111060109A/en,
CN-111239750-A,Proximity sensor testing method and proximity sensor testing system ,歌尔股份有限公司,"徐振宾, 李敬",03/01/2020,03/01/2020,05/06/2020,,https://patents.google.com/patent/CN111239750A/en,
CN-111121962-A,"Optical fiber type photoelectric detector, detection system, test system and preparation method ",深圳大学,"王英, 吴晗, 廖常锐, 王义平",03/01/2020,03/01/2020,08/05/2020,,https://patents.google.com/patent/CN111121962A/en,
CN-111221651-A,"Load balancing configuration method and device, server and readable storage medium ",广州虎牙科技有限公司,"许达, 张波, 王华夏, 毛茂德, 庄嘉欣",02/01/2020,02/01/2020,02/06/2020,,https://patents.google.com/patent/CN111221651A/en,
CN-112384281-A,System and method for controlling radiation output ,上海联影医疗科技股份有限公司,"傅费超, 徐兴, 薛舟, J·斯塔尔",02/01/2020,02/01/2020,19/02/2021,,https://patents.google.com/patent/CN112384281A/en,
