,id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link,abstract
30,CN-108141679-B,Inlet guard for reducing particle penetration into the acoustic chamber of a MEMS microphone package ,美商楼氏电子有限公司,"J·沃森, D·T·格罗斯, M·R·雅克布斯, W·F·申普夫, I·德尔瓦尔·菲格罗阿",07/08/2015,01/08/2016,07/07/2020,07/07/2020,https://patents.google.com/patent/CN108141679B/en,,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
31,US-9386053-B2,Disaster recovery with a central conferencing routing server ,"Level 3 Communications, Llc","Andrew James Broadworth, Darren James Behmlander, Gregory Thomas Ellison",21/12/2011,02/11/2015,05/07/2016,05/07/2016,https://patents.google.com/patent/US9386053B2/en,https://patentimages.storage.googleapis.com/88/71/61/bdfcd2d11c10cb/US09386053-20160705-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
32,US-10817086-B2,Touch support for remoted applications ,"Citrix Systems, Inc.",Georgy Momchilov,05/10/2010,11/08/2015,27/10/2020,27/10/2020,https://patents.google.com/patent/US10817086B2/en,https://patentimages.storage.googleapis.com/d6/eb/bc/a20ee40264e82f/US10817086-20201027-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
33,US-2017237926-A1,Optical detector and method for manufacturing the same ,Basf Se,"Ingmar Bruder, Robert Send, Stephan IRLE, Erwin Thiel",13/06/2013,05/05/2017,17/08/2017,,https://patents.google.com/patent/US20170237926A1/en,https://patentimages.storage.googleapis.com/2e/34/04/f7e7631a385868/US20170237926A1-20170817-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
34,US-2020221975-A1,Method of gait evaluation and training with differential pressure system ,"Alterg, Inc.","Steven L. BASTA, Clifford T. Jue, SHUGHART Mark A, Michael E. Duffy",14/03/2013,08/07/2019,16/07/2020,,https://patents.google.com/patent/US20200221975A1/en,https://patentimages.storage.googleapis.com/6c/5c/16/04c7ff3bfc6c23/US20200221975A1-20200716-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
35,US-10599751-B2,Hybrid mobile interactions for native apps and web apps ,Intel Corporation,"Rita H. Wouhaybi, David Shaw",28/12/2011,01/03/2017,24/03/2020,24/03/2020,https://patents.google.com/patent/US10599751B2/en,https://patentimages.storage.googleapis.com/3e/54/08/2afa19338b024b/US10599751-20200324-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
36,US-2017243028-A1,Systems and Methods for Enhancing Data Protection by Anonosizing Structured and Unstructured Data and Incorporating Machine Learning and Artificial Intelligence in Classical and Quantum Computing Environments ,Anonos Inc.,"Malcolm Gary LaFever, Ted N. Myerson, Steven Mason, Colin W. Wetherbee",01/11/2013,10/04/2017,24/08/2017,,https://patents.google.com/patent/US20170243028A1/en,https://patentimages.storage.googleapis.com/5b/25/5a/56a7f7d745efed/US20170243028A1-20170824-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
37,US-2017192944-A1,Date picker in excel ,Oracle International Corporation,"Edmund Alexander Davis, Yuandi Jin",20/09/2013,21/03/2017,06/07/2017,,https://patents.google.com/patent/US20170192944A1/en,https://patentimages.storage.googleapis.com/2c/fd/00/aff0756ee0e020/US20170192944A1-20170706-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
38,US-9943719-B2,Weight selector release mechanism ,"Icon Health & Fitness, Inc.","Kent M. Smith, William T. Dalebout",28/08/2014,27/08/2015,17/04/2018,17/04/2018,https://patents.google.com/patent/US9943719B2/en,https://patentimages.storage.googleapis.com/6a/ad/62/f5ebd843efdbd0/US09943719-20180417-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
39,JP-6574279-B2,Improved hematopoietic stem and progenitor cell therapy ,"フェイト セラピューティクス，インコーポレイテッド, フェイト  セラピューティクス，インコーポレイテッド","シューメーカー ダニエル, シューメーカー ダニエル, ムルタニ プラティク, ムルタニ プラティク, デスポンツ キャロライン, デスポンツ キャロライン, エル． ロビンス デイビッド, エル．  ロビンス デイビッド, グレイソン ポール, グレイソン ポール, メンドレイン ジョン, メンドレイン ジョン",12/08/2010,26/02/2018,11/09/2019,11/09/2019,https://patents.google.com/patent/JP6574279B2/en,,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
40,US-9418263-B2,Operating systems for an RFID tag ,"Tego, Inc.","Timothy P. Butler, Leonid Mats, David Puleston",09/12/2005,30/09/2015,16/08/2016,16/08/2016,https://patents.google.com/patent/US9418263B2/en,https://patentimages.storage.googleapis.com/77/6c/e3/a8d96bf5636f01/US09418263-20160816-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
41,US-10791544-B2,D2D operation method performed by terminal in wireless communication system and terminal using same ,Lg Electronics Inc.,"Sunghoon Jung, Youngdae Lee",31/01/2014,16/10/2018,29/09/2020,29/09/2020,https://patents.google.com/patent/US10791544B2/en,https://patentimages.storage.googleapis.com/ab/10/49/56f9e91f2cf6be/US10791544-20200929-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
42,US-2020036968-A1,Method for decoding a bitstream ,Sharp Kabushiki Kaisha,"Kiran Mukesh Misra, Seung-Hwan Kim, Jie Zhao, Christopher Andrew Segall, Tomohiro Ikai",20/06/2014,05/08/2019,30/01/2020,,https://patents.google.com/patent/US20200036968A1/en,https://patentimages.storage.googleapis.com/0c/84/5c/d4bc6854538b0e/US20200036968A1-20200130-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
43,US-2019128357-A1,Gradient nanoparticle-carbon allotrope polymer composite ,Greenhill Antiballistics Corporation,"Zachary R. Greenhill, Joseph J. Belbruno",18/10/2010,29/05/2018,02/05/2019,,https://patents.google.com/patent/US20190128357A1/en,https://patentimages.storage.googleapis.com/24/cb/ea/f4b609138b4032/US20190128357A1-20190502-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
44,US-9616923-B2,Topographical integration for trailer backup assist system ,"Ford Global Technologies, Llc","Erick Michael Lavoie, Roger Arnold Trombley, Hai Yu",03/03/2015,03/03/2015,11/04/2017,11/04/2017,https://patents.google.com/patent/US9616923B2/en,https://patentimages.storage.googleapis.com/1c/e3/59/903151cdf9b560/US09616923-20170411-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
45,US-2019238437-A1,Flexible and safe monitoring of computers ,"Microsoft Technology Licensing, Llc","David A. Maltz, Jonathan David Goldstein, Albert Greenberg, Charles Loboz, Parveen K. Patel",29/06/2010,04/04/2019,01/08/2019,,https://patents.google.com/patent/US20190238437A1/en,https://patentimages.storage.googleapis.com/2e/31/7b/474606ccbe9c75/US20190238437A1-20190801-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
46,CN-106698585-B,Utilize the method for graphene modified nano-titanium dioxide photocatalyst web regulation creek black and odorous water ,钟华,钟华,27/12/2016,27/12/2016,28/05/2019,28/05/2019,https://patents.google.com/patent/CN106698585B/en,,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
47,US-RE46728-E,Digital broadcasting system and data processing method ,Lg Electronics Inc.,"Jae Hyung Song, In Hwan Choi, Ho Taek Hong, Kook Yeon Kwak, Byoung Gill Kim, Jong Yeul Suh, Jin Pil Kim, Won Gyu Song, Chul Soo Lee, Jin Woo Kim, Hyoung Gon Lee, Joon Hui Lee",26/06/2007,10/02/2015,20/02/2018,20/02/2018,https://patents.google.com/patent/USRE46728E1/en,https://patentimages.storage.googleapis.com/ab/a8/a5/324a0a01167e8a/USRE046728-20180220-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
48,US-2020288511-A1,Layer 2 Relay Protocols and Mobility Relay Method ,Apple Inc.,"Richard Burbidge, Sangeetha L. Bangolae, Youn Hyoung Heo, Kyeongin Jeong, Jaemin HAN, Mo-Han Fong",23/07/2015,20/03/2020,10/09/2020,,https://patents.google.com/patent/US20200288511A1/en,https://patentimages.storage.googleapis.com/bf/8e/11/aa9ac73d65ff66/US20200288511A1-20200910-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
49,US-9749181-B2,Managing communications for modified computer networks ,"Amazon Technologies, Inc.","Daniel T. Cohn, Eric Jason Brandwine, Andrew J. Doane",11/03/2009,16/01/2015,29/08/2017,29/08/2017,https://patents.google.com/patent/US9749181B2/en,https://patentimages.storage.googleapis.com/9d/1e/54/fb7c063924aa4c/US09749181-20170829-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
50,US-10873465-B2,Control mechanisms for data processing devices ,Arm Ip Limited,"Milosch Meriac, Daryl Wayne Bradley",05/08/2014,15/07/2015,22/12/2020,22/12/2020,https://patents.google.com/patent/US10873465B2/en,https://patentimages.storage.googleapis.com/4b/80/5b/ba1e092e3e9e78/US10873465-20201222-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
51,US-10235014-B2,Music user interface ,Apple Inc.,"Lawrence Y. YANG, David Chance Graham, Christopher Patrick FOSS, Anton M. DAVYDOV, Alan C. Dye, Jonathan P. Ive, Stephen O. Lemay",09/05/2012,19/08/2015,19/03/2019,19/03/2019,https://patents.google.com/patent/US10235014B2/en,https://patentimages.storage.googleapis.com/18/dd/60/fe3372db0b8c2f/US10235014-20190319-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
52,JP-6474611-B2,Composite materials and electronics ,"ティーピーケイ ホールディング カンパニー リミテッド, ティーピーケイ  ホールディング  カンパニー  リミテッド","スリニバス、アージャン、ダニエル, ペング、カルビン, ミッタル、アレキサンダー、チョウ, アガルワル、プリヤンカ",29/05/2007,26/12/2014,27/02/2019,27/02/2019,https://patents.google.com/patent/JP6474611B2/en,https://patentimages.storage.googleapis.com/bb/22/32/3097d103f89b27/0006474611-4.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
53,US-9765657-B2,"System, method and device for rocker arm position sensing ",Eaton Corporation,Brian Karl VanDeusen,19/03/2010,16/09/2015,19/09/2017,19/09/2017,https://patents.google.com/patent/US9765657B2/en,https://patentimages.storage.googleapis.com/26/61/ea/9cbcabc4ee22e6/US09765657-20170919-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
54,CN-105549869-B,Watch type terminal and control method thereof ,Lg电子株式会社,"鲁珍旭, 吴暻仁, 金拏荣, 丁模世, 辛定恩",22/10/2014,06/09/2015,02/10/2020,02/10/2020,https://patents.google.com/patent/CN105549869B/en,,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
55,US-9904437-B2,Dynamic minimized navigation bar for expanded communication service ,"Microsoft Technology Licensing, Llc","Daniel Costenaro, Elizabeth Holz, Alessio Roic, Jedidiah Brown",08/12/2011,14/11/2014,27/02/2018,27/02/2018,https://patents.google.com/patent/US9904437B2/en,https://patentimages.storage.googleapis.com/c3/d6/2f/adbfa0c61858b6/US09904437-20180227-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
56,TW-I714022-B,Anti-pdl1 antibody formulations ,美商建南德克公司,"瑩 楊, 史瑞達拉 愛拉維坦",27/09/2013,26/09/2014,21/12/2020,21/12/2020,https://patents.google.com/patent/TWI714022B/en,https://patentimages.storage.googleapis.com/9e/bd/c5/e4a1e2941d78b4/108108366-A0304-14-0001-1.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
57,JP-2019194262-A,Formulations of enzalutamide ,"メディベイション プロステイト セラピューティクス エルエルシー, Medivation Prostate Therapeutics Llc, メディベイション  プロステイト  セラピューティクス  エルエルシー, アステラス製薬株式会社, Astellas Pharma Inc","アラン ローレンツ ダグラス, Alan Lorenz Douglas, アラン  ローレンツ ダグラス, コナガース サンジェイ, Konagurthu Sanjay, コナガース サンジェイ, ジェイ． ウォルド ランディー, J Wald Randy, ジェイ．  ウォルド ランディー, エー． エバレット ジェイソン, A Everett Jason, エー．  エバレット ジェイソン, マッツ シェイラ, Matz Sheila, マッツ シェイラ, 勇希 高石, Yuuki Takaishi, 勇希 高石, 敏郎 坂井, Toshiro Sakai, 敏郎 坂井, 亮介 入江, Ryosuke Irie, 亮介 入江, 慎介 大場, Shinsuke Oba, 慎介 大場, 敬康 豊田, Takayasu Toyoda, 敬康 豊田, 西村　浩司, Koji Nishimura, 浩司 西村, 敦 上林, Atsushi Kambayashi, 敦 上林",11/09/2012,08/08/2019,07/11/2019,,https://patents.google.com/patent/JP2019194262A/en,,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
58,US-2019139117-A1,Collections of Matched Biological Reagents and Methods for Identifying Matched Reagents ,Life Technologies Corporation,"John Carrino, Feng Liang, Siamak Baharloo, Barry Schweitzer",14/07/2004,28/08/2018,09/05/2019,,https://patents.google.com/patent/US20190139117A1/en,https://patentimages.storage.googleapis.com/10/79/9f/895993e5f8cd61/US20190139117A1-20190509-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
59,US-2020215368-A1,Fire-fighting control system ,"Hale Products, Inc.",Jason Cerrano,10/09/2010,06/01/2020,09/07/2020,,https://patents.google.com/patent/US20200215368A1/en,https://patentimages.storage.googleapis.com/01/60/a2/dc4bb36e223ba9/US20200215368A1-20200709-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
